round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
434,0.7570,0.1493,446958480,0.004194,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
435,0.7894,0.1630,446958480,0.004186,0,3,7,0,0,0.6109,1.2876,2,topk,1,1
436,0.8108,0.1368,446958480,0.004177,0,0,7,0,3,0.6109,1.2876,2,topk,1,1
437,0.7390,0.1992,446958480,0.004169,0,0,8,1,1,0.6390,1.2876,2,topk,1,1
438,0.6652,0.1784,446958480,0.004161,0,2,4,2,2,1.3322,1.2876,2,topk,1,0
439,0.7366,0.2374,446958480,0.004152,4,1,3,2,0,1.2799,1.2876,0,stab,1,1
440,0.7622,0.1836,446958480,0.004144,1,0,1,0,8,0.6390,1.2876,4,interp1,1,1
441,0.6398,0.1431,446958480,0.004136,0,0,5,4,1,0.9433,1.2876,2,topk,1,1
442,0.7801,0.1230,446958480,0.004128,0,3,3,0,4,1.0889,1.2876,4,interp1,1,1
443,0.6782,0.1952,446958480,0.004119,0,0,1,8,1,0.6390,1.2876,3,interp0,1,1
444,0.7480,0.1488,446958480,0.004111,0,1,4,3,2,1.2799,1.2876,2,topk,1,1
445,0.7016,0.1463,446958480,0.004103,0,1,3,3,3,1.3138,1.2876,2,topk,1,0
446,0.7048,0.1973,446958480,0.004095,1,0,2,6,1,1.0889,1.2876,3,interp0,1,1
447,0.7593,0.1739,446958480,0.004087,0,6,3,1,0,0.8979,1.2876,1,used,1,1
448,0.7647,0.1565,446958480,0.004078,0,0,5,4,1,0.9433,1.2876,2,topk,1,1
449,0.7127,0.2165,446958480,0.004070,4,0,4,0,2,1.0549,1.2876,0,stab,1,1
450,0.5731,0.2617,446958480,0.004062,0,1,4,1,4,1.1935,1.2876,2,topk,1,1
451,0.7397,0.2360,446958480,0.004054,0,5,3,2,0,1.0297,1.2876,1,used,1,1
452,0.7394,0.1998,446958480,0.004046,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
453,0.7748,0.1442,446958480,0.004038,2,0,4,0,4,1.0549,1.2876,2,topk,1,1
454,0.8229,0.0982,446958480,0.004030,0,5,2,0,3,1.0297,1.2876,1,used,1,1
455,0.7522,0.1033,446958480,0.004022,0,1,2,3,4,1.2799,1.2876,4,interp1,1,1
456,0.7914,0.1409,446958480,0.004014,4,0,2,1,3,1.2799,1.2876,0,stab,1,1
457,0.7421,0.1384,446958480,0.004006,0,0,0,7,3,0.6109,1.2876,3,interp0,1,1
